row_ordinal,block_count,command_block_count,output_block_count,heredoc_count,file_write_indicator,assessment_status,disposition
1,2,1,1,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
2,1,1,0,2,True,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
3,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
4,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
5,2,1,1,1,True,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
6,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
7,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
8,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
9,2,1,1,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
10,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
11,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
12,2,1,1,1,True,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
13,2,1,1,1,True,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
14,0,0,0,0,False,ASSESSED_FROM_STABILIZED_FULL_FLYOUT_HTML,PRIVATE_LOCAL_ACTIVITY_EVIDENCE_SEARCHED_PUBLIC_FINDINGS_CROSSWALKED_SEPARATELY
