member_sha256,occurrence_count,member_bytes,disposition,catalog_item_ids
001b5a83668614caad814d4f58291570f4babe5b91a0253a5b95c4711fc092b9,42,32266,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
00220b4c318371decac895826c5eb122bfc95ba41dc190574701a7af750a54d2,2,4730,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
002760e098516e13a145f34159c5d9ece48cd2659d1da0e73f8926aacc4f6356,8,2455,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0027b9b3d8ef5738eda74a67b88bd5570f00b33a78724cf4c64e8807e2c08224,2,3399,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
002dad33a0e64948a2419a359d189b030a81b8c78f097544bc482bb9d00a3ed1,2,782,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0031604bf0d2d6e3a9dcf8f6ec138dc730e2eccfd8e39bd64f60f97fc0fbe890,2,623,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
003757bf37a0d050be1018fb8a81bde6b512d31c104b38fe069001f43cb3cfda,14,19502,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0038840af751a26756dc0adb62de8a6ffaa7d7f6afb02476b7b7192837b223fa,15,29533,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
003c0417abf9346c451e86a5f053dc7a9aae437e1fb58de94cb65907f7e6d314,2,3628,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
003eee0aaaf5978a6fb63a40655a15df873bcb85b0e847a2d2db36c282a57939,28,2264,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0040952735b6a4ebe1be5cf0fd1a1df6f8a98a394d26815502bf2b027018a235,2,2332,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0040f4351ee04f17433886d004d622ed7b353f3933477a9ae73beac1587e5f4c,16,545,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
004215656ee749e42d78756619e731216bfcee52cb79e76f842d16c4df485a1b,15,3071,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0046c622d2c871601c67eae73e1b6683fd346ee245722fdc77f6222188036670,2,5434,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
00542f6400170ff3149ca6ec141e5fca07482da6f611044b744506691aeadcf3,6,5171,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
005d0d03a1497bd01840324fd8fd0190864eac7e36bf6f604f2bd928cd6268fd,2,34618,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0062846a5ce92e58791d78304424552acc11de66c4a042bedc5b18f10f438b80,2,11946,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
006ef8013aa30e76f1ae615576d102134cf24d1d833499ac289e27d979334031,15,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0089c39f5672a6343891ad7fe087afe242bdbd2a5fe09f8be486181bfe165687,15,3109,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0090ba5aba7d5f0618fcf17ee4284bb5c6675ee5ab5e5be11fa53979e108d194,4,477,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0091765c455e68a5227ccfb6ff3164b015b48cd93a7799104317843ab7addab0,2,131629,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0096a90d40e170658b3713e1f861f11534c8b78f3fbd514cdcc5f35d6be28f21,2,653,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
