row_id,classification,final_disposition,boundary_code,actual_sha256
1,ASSISTANT_GENERATED_FILE_CARD,PERMISSION_OR_BROWSER_BOUNDARY,HISTORICAL_LINK_UNAVAILABLE,
2,ASSISTANT_GENERATED_FILE_CARD,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
3,ASSISTANT_GENERATED_FILE_CARD,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
4,ASSISTANT_GENERATED_FILE_CARD,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
5,ASSISTANT_GENERATED_FILE_CARD,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
6,DUPLICATE_RENDERING_OF_SAME_CARD,DUPLICATE_RENDERING_MAPPED_TO_DOWNLOADED_AND_HASHED,,d4e684dee280121ce533c3c283bfe63e89d59df3e26358880d5eee6348ca7b2e
7,DUPLICATE_RENDERING_OF_SAME_CARD,DUPLICATE_RENDERING_MAPPED_TO_DOWNLOADED_AND_HASHED,,90fa284e3d0413d0740fbfae5315ca1133b2cc3168c53f669f275fcede2ad493
8,DUPLICATE_RENDERING_OF_SAME_CARD,DUPLICATE_RENDERING_MAPPED_TO_DOWNLOADED_AND_HASHED,,cec1e9f0a7e16cc53726612aab2dd32aff464f0eb8e429efb2f438d7315ed28f
9,CHATGPT_SIDECAR_OR_RECEIPT,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
10,CHATGPT_SIDECAR_OR_RECEIPT,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
11,CHATGPT_SIDECAR_OR_RECEIPT,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
12,ASSISTANT_GENERATED_FILE_CARD,HISTORICAL_BYTES_DRIFTED_OR_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
13,ASSISTANT_GENERATED_FILE_CARD,DOWNLOADED_AND_HASHED,,d4e684dee280121ce533c3c283bfe63e89d59df3e26358880d5eee6348ca7b2e
14,UI_ACTION_NOT_A_FILE,EXCLUDED_NOT_FIRST_PARTY_FILE_BYTES,,
15,ASSISTANT_GENERATED_FILE_CARD,DOWNLOADED_AND_HASHED,,90fa284e3d0413d0740fbfae5315ca1133b2cc3168c53f669f275fcede2ad493
16,UI_ACTION_NOT_A_FILE,EXCLUDED_NOT_FIRST_PARTY_FILE_BYTES,,
17,ASSISTANT_GENERATED_FILE_CARD,DOWNLOADED_AND_HASHED,,cec1e9f0a7e16cc53726612aab2dd32aff464f0eb8e429efb2f438d7315ed28f
18,UI_ACTION_NOT_A_FILE,EXCLUDED_NOT_FIRST_PARTY_FILE_BYTES,,
19,UI_ACTION_NOT_A_FILE,EXCLUDED_NOT_FIRST_PARTY_FILE_BYTES,,
20,CHATGPT_ARCHIVE_LINK,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
21,CHATGPT_ARCHIVE_LINK,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
22,DUPLICATE_RENDERING_OF_SAME_CARD,DUPLICATE_RENDERING_MAPPED_TO_DOWNLOADED_AND_HASHED,,85364cb0c0d75a6b1fa390c5cb898554b106d31ed8dc038a3296a88ae3516355
23,CHATGPT_SIDECAR_OR_RECEIPT,DOWNLOAD_CONTROL_UNAVAILABLE,HISTORICAL_LINK_UNAVAILABLE,
24,DUPLICATE_RENDERING_OF_SAME_CARD,DUPLICATE_RENDERING_MAPPED_TO_DOWNLOADED_AND_HASHED,,143116245aebf0de60b89f654933a4b8715b79383d0830735c3ee894c241732a
