ordinal,role,capture_sha256,worked_for_control_present,disposition
1,user,6c8cef45aecf0c5659f686b1dfdc4d41da86b35a38245296ad1dab8a25f08568,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
2,assistant,ebd52f2e7010bc1e5cb9cd221b54377af53a4527943f963138811d7dd608ee9e,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
3,user,55a042fe06813fed6677e676930318663ef51d4f61a45cea10ecbc807d6b9604,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
4,assistant,7fc0e3de6a9a7c59b3e38979112410f043e1e6d5f3391aba8d9bce7f2c6e35ac,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
5,user,5326439657a191261f0009f38e22b16eda5205563061173ac181e4f6098af774,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
6,user,6b8219d56f2eb3c6dabcae4c7072c0cce63080a87e6c9c7453a803cd130213fd,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
7,assistant,9ec250d018d8e077d7476c75271e9f7bd7868d6ada95f4cba54f859b66906703,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
8,user,d3a20481052d5b76a8e903acd8b1ec37a216dc1df0d723e469114e2f3a0c8213,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
9,assistant,fbd9296f853baef2032b416de1998158c257d5c5837f536b801042d54a5a5f7f,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
10,user,c965a36d0b8daa77231ddd3361da1eb8efdb4919be1691e24873d4a67138c84d,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
11,assistant,4b520227cdbfb95200c172b06ab89a8ce1cedb7a657afcf561653b8340e40ab3,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
12,user,2c1ab89645740af7659ad2cda4c5ded096ca85597e88581da145ee2992a8ce8b,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
13,assistant,f091663193db815306e20e886ce02426839ccad27eb0f0b444cd214435430d21,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
14,user,1af34742693b3af49a29f3cdea5b673accc447a02798406e35ecf76b8cd31b28,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
15,assistant,ab609a342a863b2875a7b3e7fa974ce8b0f3f3964784a12719402c5cfb327976,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
16,user,0588428640ddcc694c1474989a64b38f7fc015696e4f2590d6eab48268a49919,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
17,assistant,6858fcb32b37eba7b043481b49bcdb1a1ac8bc13b2c500be29651a0df045bebc,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
18,user,07b591d78c51c52e067f5be7f3fcbfc98ef1edf1ee330e138d282cf147b6f477,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
19,assistant,69f167d14815e5aba7451a72250a5062b64b11ec19abe7cc4f86305e647f069e,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
20,user,46ae241d285fdd8acb24e2a8604b0410752fe9643d9a47495446c2350cccdfb1,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
21,assistant,8f82c16311a301f55a7c6b53e5f016ab053b7ea6d5dba4645148166644327b73,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
22,user,152f302c8a144c3bfe9f673949c2ddc60b93bea2ce14bdf14c68a67516c034f6,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
23,assistant,66b98d0fcfb759c5db4b4ca3495de132994de0d2a0c5d33b3bbf7204a4c8d79c,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
24,user,b24554c2fc30d06235face0ffaa4e0dc39a4ad1d7f7c466d676c0b94a0a30784,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
25,assistant,99c0708a959b101858a68493dac46944f9d3ffb5f3ad87b8bf5d6c53377e2bf2,True,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
26,user,b24554c2fc30d06235face0ffaa4e0dc39a4ad1d7f7c466d676c0b94a0a30784,False,PRIVATE_LOCAL_MESSAGE_EVIDENCE_SEARCHED_NO_PUBLIC_BODY_IMPORT
