archive_sequence,sha256,bytes,member_count,integrity_status,disposition
1,ff9e5452670ae5b895ac4093341c172ed91077e5595005e1537ee3d80bc44974,494283,56,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
2,024698d4bc43d57c54fda813004810f8310917b6eb870590a36b9430d92eb636,117672,55,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
3,dfa5dc36aa36b9f362b8cf8cd9df6b09dfa2d972d9de9cc2bdaf93f736029bea,221115,186,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
4,37fcb3c4e965243e42be337cefdee5b49e037140d54dcb4716fc5a7bf264748b,159943,77,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
5,141deffc4323225e549149ba35b6d2ae55007242459bfb513957420b189a78e8,47570,28,PASS,SUPERSEDED_BOUNDARY_CHECKPOINT_PRIVATE_NO_PUBLIC_IMPORT
6,0e9561dc1dd4c2cd25af5a8b7fdc822b242b57f633d1aca5bc095cbb76a71445,184083,79,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
7,8eb163780876117acfc155f4ef111db27b0c32e7ea92684d58eb326789aae0c0,243215,107,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
8,329300d65e4dc9da735d2f8976a4ff30ba40f82a12ac07e0b097e80a2153961d,214625,101,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
9,ec18d0e80adc907ab11da9a21de8816833cbbdc1df389a99efef7fa415fb65c2,305365,137,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
10,d7a44100b72218988b3f6d116048d31fffe3997d278e855542207b5a84769e64,276763,131,PASS,PUBLIC_HASH_RECEIPTED_PRIVATE_ARCHIVE_NOT_IMPORTED
