member_sha256,occurrence_count,member_bytes,disposition
00cb92b437dc7df664a83bc461c98f03a40dbbe5842da0cf64f6e5282d46c137,7,2168,EXACT_PUBLIC_BYTES_PRESENT
00e07908c644c456497ca216c6d1786620bfb95c30307326dfc51c8e425cfe89,1,2734,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
01024bd88a22b0c9d75bf64c7b6e907b6c309f59b2a8716e1e673648644c5f58,1,1438,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
0234b56f27b520954dbaf618a7e772aaee25ec774dbcbcc7d5424425c547671a,1,1000,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
02465b1e7f505bba152aef8697ceb4f66097c7999e3745a87d7be523d20dfb6a,6,3026,EXACT_PUBLIC_BYTES_PRESENT
02648eb03f047e9f18b15cd424932553b4cfee10ee7007417305fc02c245e246,3,1967,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
026e0e6a479ebd7169009203eed960f6bd58de9ebc2a24ea94f3c7f6b5591a0e,3,4958,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
02808224fbe7f32f7e1d2dc4f4b3e56582dcf985002876d5ce761d28d4c47861,1,424,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
03318680fd76e701e9dbbafaad7506964e8c9c4fd885df285c50499be03306bb,2,849,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
0377b84a8c2a62b7ed07850579495d9fc86c4dc781bf173d652265eb3a1eed3b,1,251,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
04dc46909a4e2e080ea6a710138aa0a9442ecfbb6ee5b23b9282d7d75f2cd797,7,464,EXACT_PUBLIC_BYTES_PRESENT
057adbf6a6d2a247b4fbaf4f39b8fb6e827ddc530512ac4d5f3fb052a1f6e052,1,925,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
067c3ee2fa98f0b6b3ee483c154c04852ec64ec096fec26cb047d65982e194fc,1,1071,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
0687f127decd06ea2885948c15fb76b412e4e6dd88f60376d16a9c5cff508823,1,2192,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
