row_id,item_kind,expansion_status,has_href,disposition
1,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
2,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
3,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
4,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
5,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
6,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
7,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
8,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
9,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
10,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
11,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
12,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
13,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
14,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
15,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
16,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
17,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
18,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
19,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
20,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
21,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
22,CARD,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
23,LINK,EXPANDED,True,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
24,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
25,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
26,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
27,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
28,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
29,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
30,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
31,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
32,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
33,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
34,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
35,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
36,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
37,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
38,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
39,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
40,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
41,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
42,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
43,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
44,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
45,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
46,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
47,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
48,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
49,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
50,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
51,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
52,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
53,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
54,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
55,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
56,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
57,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
58,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
59,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
60,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
61,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
62,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
63,BUTTON,EXPANDED,False,PRIVATE_UI_INVENTORY_ROW_ACCOUNTED_NO_PUBLIC_BODY_IMPORT
