row_id,surface,kind,sha256,bytes,source_status,disposition
1,FILE_CARD,DOWNLOAD,7000fdb25ccf3b3de6f14918f2e055ac2aad163a75a068498283af9a4d68c376,11654,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
2,FILE_CARD,DOWNLOAD,2d8c9f7f77d03ea07f12385712dfa1b068a111e84bdf050180681ba055e76589,5062,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
3,FILE_CARD,DOWNLOAD,311818ec2a81897c0f5e76e1fd8a73e7e95b8f5f9bf1b337746996c18e17211a,1409,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
4,FILE_CARD,DOWNLOAD,4afcab57e7ca020161cad4eea8755135a3e229ce07fd0f6a30c4aa359ec3f8fd,3765,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
5,FILE_CARD,DOWNLOAD,917f1e5cee2f42fc1d7784a1d038c3dc6ad2b6fa885a3c9100229e2ad0d68bdf,1070,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
6,FILE_CARD,DOWNLOAD,bc08b1adc1322d9d44a8d9f2305d4c127ac235455cffeaf053ea50bac840ece8,1936,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
7,FILE_CARD,DOWNLOAD,8139164e055edbb916895c84e487366a263f89126daa09afd4a9c41b3dacb95e,450,DOWNLOADED_AND_HASHED,PRIVATE_CUSTODY_OR_VERIFICATION_RECEIPT_NO_PUBLIC_IMPORT
8,FILE_CARD,DOWNLOAD,68e373a368307f2ebd47af3de4a534fbc32378069ca8d3267164bf755b3eeccf,485,DOWNLOADED_AND_HASHED,PRIVATE_CUSTODY_OR_VERIFICATION_RECEIPT_NO_PUBLIC_IMPORT
9,FILE_CARD,DOWNLOAD,62b31b26a3ce1f1e3d5d45b75cfccfc50f45b251de1a0f7ca3be0d1b0e8a445e,1765,DOWNLOADED_AND_HASHED,PRIVATE_CUSTODY_OR_VERIFICATION_RECEIPT_NO_PUBLIC_IMPORT
10,FILE_CARD,DOWNLOAD,9ea9e662e808f02b9c00a8a86b846aa574b2fdf23a35b979806d7e90b6f45f4e,4959,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
11,FILE_CARD,DOWNLOAD,1a99dee721cfdfdd4d5cc76e4c095be41cfc85b9ff44df4e4180b06844de99c4,1045,DOWNLOADED_AND_HASHED,PRIVATE_CUSTODY_OR_VERIFICATION_RECEIPT_NO_PUBLIC_IMPORT
12,FILE_CARD,DOWNLOAD,765522b4f67db991126c621f4626500bb59939beaeb7da633bb40cdb4bf546d9,1231,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
13,FILE_CARD,DOWNLOAD,7da005d001ae97acc6324011ae363193d801a34055365e7218a84680ec17896b,10668,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
14,FILE_CARD,DOWNLOAD,960f3a037a2a87613f2d847211056f306d3031cfd5dd1351c5766994ffdd8078,678,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
15,FILE_CARD,DOWNLOAD,,,DOWNLOAD_FAILED,SUPERSEDED_FAILED_ATTEMPT_MATCHED_TO_LATER_SUCCESS
